id,type,location
1,challenge,faf236af969679d6c793221b4ec01b0f/a_friend.zip
2,challenge,68f4fea65c5fcc7aed436ebcf0ace889/lost_flash_drive.zip
3,challenge,203d8cb3e5df942e26c187e554cfa3a0/encrypted.pdf
4,challenge,9bca1dc8d604e73c0328f5e6df7f39be/IMG_0743.png
5,challenge,2571d42257f93d5245ff575dcdc5419a/unk
6,standard,ce79de31fbe28c75ad2493722fd42355/saintcon2022.jpg
7,standard,726d85e553de1aa736ef16a547b15afb/Twitter-02.png
8,standard,4c15cd57669ea93b83d77a2efb5166df/Footer-Industrial.svg
9,standard,d511ae2d2e9218e5bed2779d39f80196/Twitter-02.png
10,standard,574d58f7dba1c28124a85c501beb55cb/saintcon2022.jpg
11,standard,f51276504809ccc7fafc3a17cf428566/WEB-LOGO-WHITE.svg
12,standard,dd134624e8352ed424cf9f23d948de18/WEB-LOGO-WHITE.png
13,standard,42e8cfaf28c06c119917d64d78143fe2/WEB-LOGO-WHITE.png
14,standard,208548be916a02bc4dcf143b779eca4b/WEB-LOGO-WHITE.png
15,standard,4505f898ce4e33b6b7728cb6060086c6/WEB-LOGO-WHITE.png
16,challenge,e11a439be9824f849bd60ee174912ecf/I103
17,challenge,95d70608b22ba87064f6911aad608762/pumpimage.jpg
