id,challenge_id,type,content,data
1,1,static,flag{help_im_stuck_at_the_pet_store},
2,2,static,flag{its_adventure_time_yee_boi!!!},
3,3,static,flag{kramer_the_best_hacker_ever},
4,4,regex,(.*)Koneko(.*),
5,5,static,flag{old_macdonald_or_mcdonalds_supplier?},
6,6,static,"160,164",case_insensitive
7,6,static,"164,160",case_insensitive
8,7,static,358,case_insensitive
9,8,static,Florida Healthy Kids Corporation,case_insensitive
12,10,static,"Anthem Inc.,78800000",
13,10,static,"Anthem,78800000",case_insensitive
14,10,static,"Anthem Inc.,78,800,000",case_insensitive
15,10,static,"Anthem,78,800,000",case_insensitive
16,11,static,13402(e)(4),case_insensitive
19,13,static,FDA,case_insensitive
20,14,static,False,case_insensitive
21,15,static,"1,2,3",case_insensitive
22,15,static,"I,II,III",case_insensitive
23,15,static,"Class 1,Class 2,Class 3",case_insensitive
24,15,static,"1, 2, 3",case_insensitive
25,15,static,"I, II, III",case_insensitive
26,15,static,"Class 1, Class 2, Class 3",case_insensitive
27,16,static,CVE-2019-12255,case_insensitive
28,17,static,3,case_insensitive
29,17,static,Class 3,case_insensitive
30,17,static,III,case_insensitive
31,18,static,510k,case_insensitive
32,18,static,510(k),case_insensitive
33,18,static,510 K,case_insensitive
34,19,static,164.502(b),case_insensitive
35,19,static,164.502b,case_insensitive
36,19,static,164.502 B,case_insensitive
37,19,static,164.514(d),case_insensitive
38,19,static,164.514d,case_insensitive
39,19,static,164.514 D,case_insensitive
40,17,static,Three,case_insensitive
41,15,static,"One,Two,Three",case_insensitive
42,15,static,"One, Two, Three",case_insensitive
43,20,static,Zip,case_insensitive
44,20,static,Zip Code,case_insensitive
45,20,static,ZipCode,case_insensitive
46,20,static,Geo,case_insensitive
47,20,static,Geo Code,case_insensitive
48,20,static,GeoCode,case_insensitive
49,21,static,TRUE,case_insensitive
50,22,static,DICOM,case_insensitive
51,23,static,Naval Hospital - Naples,
52,23,static,Naval Hospital Naples,case_insensitive
53,23,static,Naples Naval Hospital,case_insensitive
54,24,static,WE ARE ALL PATIENTS,case_insensitive
55,25,static,$6.00,case_insensitive
56,25,static,$6,case_insensitive
57,25,static,Six Dollars,case_insensitive
58,25,static,$ 6,case_insensitive
59,25,static,$ 6.00,case_insensitive
60,26,static,2,case_insensitive
61,26,static,II,case_insensitive
62,26,static,two,case_insensitive
63,27,static,0x01700000,case_insensitive
64,27,static,0x01780000,case_insensitive
65,27,static,0x04060000,case_insensitive
66,27,static,0x04F00000,case_insensitive
67,27,static,0x07FE0000,case_insensitive
68,28,static,ICSMA-17-009-01A,case_insensitive
69,29,static,CVE-2017-5149,case_insensitive
70,30,static,6.8,case_insensitive
71,30,static,6.8 medium,case_insensitive
72,31,static,+46-8-474-4756,case_insensitive
75,33,static,7/8/2020,case_insensitive
78,33,static,07/08/2020,case_insensitive
