place,team,team id,score,member name,member id,member email,member score
1,F3n1X,10,1345,,,,
,,,,F3n1X,17,,1345
2,Hitrust!,63,1345,,,,
,,,,Skimice,85,,325
,,,,T3omner,124,,10
,,,,codeguru42,126,,460
,,,,phermium,127,,550
3,kashkoj,66,1345,,,,
,,,,Kashkoj,95,,1345
4,TechNinja,26,1345,,,,
,,,,momsanangel,40,,0
,,,,d4r7h,90,,1345
5,K-Dub,7,1335,,,,
,,,,K-Dub,14,,1335
6,Smthcrmnl,40,1310,,,,
,,,,Smthcrmnl,63,,1310
7,Lores,86,1290,,,,
,,,,Sirblah101,119,,1290
8,Bellaria,12,1070,,,,
,,,,readgirl52,19,,1070
9,AJ7o2,55,1000,,,,
,,,,AJ7o2,78,,1000
10,medicalCenter7,13,870,,,,
,,,,TheH@ckingB!$h0p,20,,870
11,5h1n1ch1,42,850,,,,
,,,,5h1n1ch1,67,,850
12,Derek Ponies,8,610,,,,
,,,,Zorgeuf,15,,30
,,,,Scarlet,37,,185
,,,,Gish,38,,125
,,,,jbmaluk,39,,270
13,Cyberderps,47,580,,,,
,,,,Vh3lox,72,,115
,,,,blueskog,147,,375
,,,,boyofdestiny,148,,70
,,,,onimaru,168,,20
14,BYU Cyberia,58,555,,,,
,,,,Legoclones,82,,510
,,,,s,83,,45
15,Team Schellman,28,550,,,,
,,,,v1nd1c4t10n,44,,550
16,Logan,25,530,,,,
,,,,JosephS,27,,530
17,tottec,60,530,,,,
,,,,tottec,86,,530
18,taco_singularity,17,530,,,,
,,,,taco_singularity,33,,530
19,Computer Boomers,54,530,,,,
,,,,nopesled,77,,530
20,HackThePlanet,108,510,,,,
,,,,HackThePlanet,156,,510
21,Daniel,39,475,,,,
,,,,BlueOrca,60,,475
,,,,phishfood,61,,0
22,4MeToKnow,96,435,,,,
,,,,4MeToKnow,136,,435
23,rob,53,425,,,,
,,,,rob,76,,425
24,Berlin,30,425,,,,
,,,,htrn,46,,425
25,UIT,80,380,,,,
,,,,Cointre,111,,225
,,,,boffinator,112,,80
,,,,.AudiFan.,159,,0
,,,,Santos,160,,75
,,,,SunshineKenz,161,,0
26,Wolfpack,33,355,,,,
,,,,Wavebuster,50,,50
,,,,Wyvern,51,,145
,,,,Salted,52,,0
,,,,Mas,53,,20
,,,,dionmunk,114,,140
27,An Unexpected Commute,49,325,,,,
,,,,yagoth,74,,325
28,Crooks,34,320,,,,
,,,,poullam,55,,320
29,Intermountain Cyber,76,315,,,,
,,,,nsingh1,107,,0
,,,,slever,149,,315
30,Stapleyites,90,260,,,,
,,,,spyder_221,125,,260
31,Chrisco,61,240,,,,
,,,,Chrisco,87,,240
32,Group (1),112,215,,,,
,,,,volke,162,,60
,,,,Aero,164,,155
33,RiskyFisky,35,205,,,,
,,,,Minifisk,57,,205
34,ISO-GRC,115,205,,,,
,,,,tl,165,,205
35,TheChads,15,185,,,,
,,,,TaikoWolfsbane,23,,0
,,,,grokcha,24,,0
,,,,403syph3r,25,,155
,,,,Boomashock,26,,30
,,,,gr0kcha,28,,0
36,ToO,103,185,,,,
,,,,FireSec,151,,185
37,BYUWEB,116,180,,,,
,,,,nwalton,145,,180
38,Hook,31,175,,,,
,,,,hookbot,47,,145
,,,,BergesenFrise,54,,30
39,Minnie Mouse,21,145,,,,
,,,,Minnie mouse,34,,145
40,SoloEdgeRunner,92,130,,,,
,,,,HawkOTM,129,,130
41,Phantomslap,74,95,,,,
,,,,White Wolf,105,,95
42,Bleeding ❤,65,90,,,,
,,,,Targe,94,,90
43,DedEyeKenni,52,75,,,,
,,,,DedEyeKenni,66,,75
44,Orange Taffy,18,70,,,,
,,,,CliKb8t,29,,30
,,,,Codes,31,,40
45,MountainTopView,19,70,,,,
,,,,Oliver,32,,70
46,cthulhu,24,70,,,,
,,,,cthulhu,42,,70
47,Unicorns,29,70,,,,
,,,,Jellyfishin,45,,70
48,Pathfinders,16,70,,,,
,,,,odie,22,,0
,,,,Rufnubbins,48,,70
49,anzen,36,70,,,,
,,,,anzenketh,56,,70
50,Team KhakaSh1,32,70,,,,
,,,,Khakash1,49,,70
51,Karbonatom,44,70,,,,
,,,,Karbonatom,69,,70
52,TeamWithNoName,45,70,,,,
,,,,FriedRice,70,,70
53,Acejeat,43,70,,,,
,,,,Acejeat,68,,70
54,malandros,56,70,,,,
,,,,galo_doido,79,,70
55,Los Lobos,57,70,,,,
,,,,Chaski,81,,70
56,Feraligator,59,70,,,,
,,,,Chuck148,84,,70
57,Owt,67,70,,,,
,,,,Davidna,96,,70
58,:),69,70,,,,
,,,,wtfomfom,99,,70
59,ßελsτ,73,70,,,,
,,,,southwickda,104,,70
60,Guardians,75,70,,,,
,,,,vwcstryker10,106,,70
61,Alpine,64,70,,,,
,,,,jjlviper,91,,70
,,,,Wookieebear,92,,0
62,SUU,81,70,,,,
,,,,johnlisonbee,113,,70
63,Lucid,88,70,,,,
,,,,SwingChef,122,,70
64,M1st3R X,78,70,,,,
,,,,Mister X,109,,70
65,Team Me,85,70,,,,
,,,,GrumpyGPA,118,,70
66,MediHavok,91,70,,,,
,,,,Med1,128,,70
67,Hello,82,70,,,,
,,,,Jjames,115,,70
68,Awn,93,70,,,,
,,,,Skaartheknight,132,,10
,,,,jsouth117,133,,60
69,Drydenmaker,111,70,,,,
,,,,Drydenmaker,163,,70
70,Aaaaaaaa,71,70,,,,
,,,,Paul,102,,70
71,Dm,102,70,,,,
,,,,Dm,150,,70
72,Virus,113,70,,,,
,,,,Dr_virus,8,,70
73,UT,62,60,,,,
,,,,RedEye,88,,60
,,,,Sysco,89,,0
74,DHHS,3,50,,,,
,,,,Krisdmage,9,,50
75,Clembot,70,50,,,,
,,,,Clembot,101,,50
76,Parzi,77,50,,,,
