id,type,ip,user_id,date
23,,94.198.42.110,5,2022-10-25 18:56:54
24,,37.19.221.180,5,2022-10-25 19:02:16
25,,64.77.246.98,1,2022-10-28 16:21:01
26,,64.77.246.98,8,2022-10-27 20:52:16
27,,37.19.221.145,5,2022-10-25 20:03:34
28,,174.204.4.254,9,2022-10-25 20:18:34
29,,174.230.205.115,10,2022-10-25 19:38:20
30,,154.21.212.246,11,2022-10-25 19:52:09
31,,67.161.208.244,1,2022-10-28 20:24:17
32,,67.161.208.244,2,2022-10-28 19:05:17
33,,64.77.246.98,12,2022-10-25 21:00:06
34,,64.77.246.98,13,2022-10-25 19:55:16
35,,64.77.246.98,14,2022-10-27 22:26:56
36,,68.235.43.22,5,2022-10-25 20:00:47
37,,172.58.79.137,15,2022-10-25 20:06:29
38,,172.58.77.205,15,2022-10-25 20:15:55
39,,172.58.72.100,16,2022-10-25 20:16:36
40,,172.58.72.195,17,2022-10-25 20:15:32
41,,172.226.137.57,17,2022-10-27 18:54:39
42,,172.58.44.151,18,2022-10-25 20:17:30
43,,172.58.77.147,16,2022-10-25 20:21:22
44,,163.116.147.33,19,2022-10-26 21:10:46
45,,172.58.47.120,18,2022-10-25 20:19:13
46,,172.58.73.66,15,2022-10-25 20:20:12
47,,64.77.246.98,20,2022-10-27 22:15:38
48,,172.58.44.139,18,2022-10-25 20:23:04
49,,174.230.194.158,21,2022-10-25 20:24:18
50,,172.58.44.207,18,2022-10-25 20:25:56
51,,174.230.194.79,22,2022-10-25 20:57:03
52,,172.58.44.229,18,2022-10-25 20:27:06
53,,172.58.44.116,18,2022-10-25 20:29:06
54,,172.58.44.87,18,2022-10-25 20:29:33
55,,64.77.246.98,23,2022-10-25 20:46:46
56,,104.28.48.219,24,2022-10-25 20:37:05
57,,172.58.35.176,25,2022-10-26 13:42:47
58,,172.58.44.231,18,2022-10-25 20:32:17
59,,104.28.50.167,24,2022-10-25 20:34:40
60,,172.58.47.90,26,2022-10-25 20:46:28
61,,163.116.147.49,19,2022-10-25 22:37:06
62,,104.28.50.161,24,2022-10-25 20:37:15
63,,172.58.72.63,15,2022-10-25 20:35:28
64,,173.239.197.212,27,2022-10-25 20:38:38
65,,104.28.48.213,24,2022-10-25 20:41:31
66,,104.28.48.213,28,2022-10-25 20:46:28
67,,104.28.50.167,28,2022-10-25 22:37:58
68,,172.58.60.19,29,2022-10-25 20:43:05
69,,172.58.61.178,29,2022-10-25 21:04:02
70,,64.77.246.98,30,2022-10-26 22:55:54
71,,174.247.150.148,31,2022-10-25 22:58:53
72,,163.116.147.32,32,2022-10-26 17:48:15
73,,64.77.246.98,33,2022-10-27 20:02:07
74,,174.204.1.210,34,2022-10-26 14:43:54
75,,172.58.63.15,29,2022-10-25 20:50:30
76,,172.58.58.101,29,2022-10-25 21:01:18
77,,174.204.3.218,35,2022-10-25 20:50:18
78,,104.28.48.217,28,2022-10-25 20:48:45
79,,64.77.246.98,36,2022-10-25 23:02:26
80,,174.204.6.196,37,2022-10-26 03:49:05
81,,172.58.63.81,29,2022-10-25 21:01:02
82,,64.77.246.98,38,2022-10-27 19:47:27
83,,24.49.166.217,39,2022-10-25 21:02:11
84,,64.77.246.98,40,2022-10-25 21:10:37
85,,174.230.193.85,41,2022-10-25 23:05:18
86,,205.251.233.176,42,2022-10-25 21:31:50
87,,172.58.44.45,26,2022-10-25 20:57:25
88,,193.19.109.104,27,2022-10-25 23:20:10
89,,172.58.47.68,18,2022-10-25 21:00:35
90,,205.251.233.232,42,2022-10-25 21:33:27
91,,173.239.197.228,27,2022-10-25 21:11:23
92,,172.58.44.131,18,2022-10-25 21:02:45
93,,172.226.137.56,17,2022-10-27 17:41:23
94,,104.28.50.161,28,2022-10-25 21:03:58
95,,172.58.60.56,29,2022-10-25 21:07:04
96,,172.58.44.106,18,2022-10-25 21:07:24
